,track_name,artist,album_name,date_listened,uts,url,tags
10614,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:05",1700640332,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10615,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 08:00",1700640035,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10616,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:55",1700639744,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10617,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:50",1700639453,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10618,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:44",1700639099,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10619,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:40",1700638808,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10620,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:35",1700638517,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10621,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:30",1700638227,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10622,This Must Be the Place (Naive Melody) - 2005 Remaster,Talking Heads,Speaking In Tongues (Deluxe Version),"22 Nov 2023, 07:25",1700637937,https://www.last.fm/music/Talking+Heads/_/This+Must+Be+the+Place+(Naive+Melody)+-+2005+Remaster,new wave
10623,Baldwin,Anstam,Baldwin / Carmichael,"22 Nov 2023, 07:20",1700637632,https://www.last.fm/music/Anstam/_/Baldwin,dubstep
10624,Bayern Kurve,Steve Moore,Speicher 62 - 67,"22 Nov 2023, 07:13",1700637194,https://www.last.fm/music/Steve+Moore/_/Bayern+Kurve,electronic
10625,Bloom - Blawan RMX,Radiohead,TKOL RMX 1234567,"22 Nov 2023, 07:05",1700636751,https://www.last.fm/music/Radiohead/_/Bloom+-+Blawan+RMX,alternative
10626,Give Life Back to Music (Drumless Edition),Daft Punk,Random Access Memories (Drumless Edition),"22 Nov 2023, 07:03",1700636599,https://www.last.fm/music/Daft+Punk/_/Give+Life+Back+to+Music+(Drumless+Edition),electronic
10627,Need 2,Pinegrove,Everything So Far,"22 Nov 2023, 06:59",1700636366,https://www.last.fm/music/Pinegrove/_/Need+2,indie rock
10628,Bags,Clairo,Immunity,"22 Nov 2023, 06:55",1700636111,https://www.last.fm/music/Clairo/_/Bags,dream pop
10629,Let Down,Radiohead,OK Computer,"22 Nov 2023, 06:50",1700635817,https://www.last.fm/music/Radiohead/_/Let+Down,alternative
10630,Something to Believe - Rough Trade Session,Weyes Blood,Rough Trade Session,"22 Nov 2023, 06:39",1700635180,https://www.last.fm/music/Weyes+Blood/_/Something+to+Believe+-+Rough+Trade+Session,seen live
10631,Blue Light,Mazzy Star,So Tonight That I Might See,"22 Nov 2023, 06:34",1700634875,https://www.last.fm/music/Mazzy+Star/_/Blue+Light,dream pop
10632,Forget Her,Jeff Buckley,Grace,"22 Nov 2023, 04:49",1700628575,https://www.last.fm/music/Jeff+Buckley/_/Forget+Her,singer-songwriter
10633,Dream Brother,Jeff Buckley,Grace,"22 Nov 2023, 04:44",1700628248,https://www.last.fm/music/Jeff+Buckley/_/Dream+Brother,singer-songwriter
10634,Eternal Life,Jeff Buckley,Grace,"22 Nov 2023, 04:39",1700627956,https://www.last.fm/music/Jeff+Buckley/_/Eternal+Life,singer-songwriter
10635,Corpus Christi Carol,Jeff Buckley,Grace,"22 Nov 2023, 04:36",1700627779,https://www.last.fm/music/Jeff+Buckley/_/Corpus+Christi+Carol,singer-songwriter
10636,"Lover, You Should've Come Over",Jeff Buckley,Grace,"22 Nov 2023, 04:29",1700627375,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over",singer-songwriter
10637,Hallelujah,Jeff Buckley,Grace,"22 Nov 2023, 04:26",1700627161,https://www.last.fm/music/Jeff+Buckley/_/Hallelujah,singer-songwriter
10638,Open the Floodgates,The Smile,A Light for Attracting Attention,"22 Nov 2023, 00:10",1700611817,https://www.last.fm/music/The+Smile/_/Open+the+Floodgates,post-punk
10639,Thin Thing,The Smile,A Light for Attracting Attention,"22 Nov 2023, 00:05",1700611546,https://www.last.fm/music/The+Smile/_/Thin+Thing,post-punk
10640,Speech Bubbles,The Smile,A Light for Attracting Attention,"22 Nov 2023, 00:01",1700611289,https://www.last.fm/music/The+Smile/_/Speech+Bubbles,post-punk
10641,The Smoke,The Smile,A Light for Attracting Attention,"21 Nov 2023, 23:57",1700611070,https://www.last.fm/music/The+Smile/_/The+Smoke,post-punk
10642,Pana-Vision,The Smile,A Light for Attracting Attention,"21 Nov 2023, 23:53",1700610822,https://www.last.fm/music/The+Smile/_/Pana-Vision,post-punk
10643,You Will Never Work in Television Again,The Smile,A Light for Attracting Attention,"21 Nov 2023, 23:50",1700610654,https://www.last.fm/music/The+Smile/_/You+Will+Never+Work+in+Television+Again,post-punk
10644,The Opposite,The Smile,A Light for Attracting Attention,"21 Nov 2023, 23:47",1700610467,https://www.last.fm/music/The+Smile/_/The+Opposite,post-punk
10645,The Same,The Smile,A Light for Attracting Attention,"21 Nov 2023, 23:43",1700610209,https://www.last.fm/music/The+Smile/_/The+Same,post-punk
10646,Voices (of the Past),Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:24",1700562254,https://www.last.fm/music/Tom+Skinner/_/Voices+(of+the+Past),jazz
10647,Quiet as it's Kept,Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:24",1700562254,https://www.last.fm/music/Tom+Skinner/_/Quiet+as+it%27s+Kept,jazz
10648,Voices (of the Past),Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:19",1700561963,https://www.last.fm/music/Tom+Skinner/_/Voices+(of+the+Past),jazz
10649,The Day After Tomorrow,Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:14",1700561664,https://www.last.fm/music/Tom+Skinner/_/The+Day+After+Tomorrow,jazz
10650,The Journey,Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:09",1700561363,https://www.last.fm/music/Tom+Skinner/_/The+Journey,jazz
10651,Quiet as it's Kept,Tom Skinner,Voices of Bishara,"21 Nov 2023, 10:05",1700561117,https://www.last.fm/music/Tom+Skinner/_/Quiet+as+it%27s+Kept,jazz
10652,Quiet as it's Kept,Tom Skinner,Voices of Bishara,"21 Nov 2023, 09:59",1700560770,https://www.last.fm/music/Tom+Skinner/_/Quiet+as+it%27s+Kept,jazz
10653,Voices (of the Past),Tom Skinner,Voices of Bishara,"21 Nov 2023, 09:54",1700560479,https://www.last.fm/music/Tom+Skinner/_/Voices+(of+the+Past),jazz
10654,The Day After Tomorrow,Tom Skinner,Voices of Bishara,"21 Nov 2023, 09:49",1700560180,https://www.last.fm/music/Tom+Skinner/_/The+Day+After+Tomorrow,jazz
10655,The Journey,Tom Skinner,Voices of Bishara,"21 Nov 2023, 09:44",1700559878,https://www.last.fm/music/Tom+Skinner/_/The+Journey,jazz
10656,Red 2,Tom Skinner,Voices of Bishara,"21 Nov 2023, 08:53",1700556839,https://www.last.fm/music/Tom+Skinner/_/Red+2,jazz
10657,Bishara,Tom Skinner,Voices of Bishara,"21 Nov 2023, 08:48",1700556490,https://www.last.fm/music/Tom+Skinner/_/Bishara,jazz
10658,Cowrie Charms (feat. Leon Thomas and Barbara Hicks),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:44",1700556262,https://www.last.fm/music/Yussef+Dayes/_/Cowrie+Charms+(feat.+Leon+Thomas+and+Barbara+Hicks),jazz
10659,Tioga Pass (feat. Rocco Palladino),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:36",1700555786,https://www.last.fm/music/Yussef+Dayes/_/Tioga+Pass+(feat.+Rocco+Palladino),jazz
10660,Woman's Touch (feat. Jamilah Barry),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:32",1700555574,https://www.last.fm/music/Yussef+Dayes/_/Woman%27s+Touch+(feat.+Jamilah+Barry),jazz
10661,Jukebox,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:30",1700555415,https://www.last.fm/music/Yussef+Dayes/_/Jukebox,jazz
10662,Presidential (feat. Jahaan Sweet),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:27",1700555252,https://www.last.fm/music/Yussef+Dayes/_/Presidential+(feat.+Jahaan+Sweet),jazz
10663,Crystal Palace Park (feat. Elijah Fox),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:25",1700555100,https://www.last.fm/music/Yussef+Dayes/_/Crystal+Palace+Park+(feat.+Elijah+Fox),jazz
10664,Marching Band (feat. Masego),Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:20",1700554815,https://www.last.fm/music/Yussef+Dayes/_/Marching+Band+(feat.+Masego),jazz
10665,Gelato,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:15",1700554529,https://www.last.fm/music/Yussef+Dayes/_/Gelato,jazz
10666,Birds of Paradise,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:11",1700554280,https://www.last.fm/music/Yussef+Dayes/_/Birds+of+Paradise,jazz
10667,Chasing the Drum,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:05",1700553939,https://www.last.fm/music/Yussef+Dayes/_/Chasing+the+Drum,jazz
10668,Early Dayes,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:05",1700553905,https://www.last.fm/music/Yussef+Dayes/_/Early+Dayes,jazz
10669,Magnolia Symphony,Yussef Dayes,Black Classical Music,"21 Nov 2023, 08:03",1700553808,https://www.last.fm/music/Yussef+Dayes/_/Magnolia+Symphony,jazz
10670,Pon Di Plaza,Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:59",1700553578,https://www.last.fm/music/Yussef+Dayes/_/Pon+Di+Plaza,jazz
10671,The Light (feat. Bahia Dayes),Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:53",1700553238,https://www.last.fm/music/Yussef+Dayes/_/The+Light+(feat.+Bahia+Dayes),jazz
10672,Turquoise Galaxy,Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:50",1700553046,https://www.last.fm/music/Yussef+Dayes/_/Turquoise+Galaxy,jazz
10673,Rust (feat. Tom Misch),Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:46",1700552806,https://www.last.fm/music/Yussef+Dayes/_/Rust+(feat.+Tom+Misch),jazz
10674,Raisins Under the Sun (feat. Shabaka Hutchings),Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:42",1700552535,https://www.last.fm/music/Yussef+Dayes/_/Raisins+Under+the+Sun+(feat.+Shabaka+Hutchings),jazz
10675,Afro Cubanism,Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:39",1700552370,https://www.last.fm/music/Yussef+Dayes/_/Afro+Cubanism,jazz
10676,Black Classical Music (feat. Venna & Charlie Stacey),Yussef Dayes,Black Classical Music,"21 Nov 2023, 07:34",1700552052,https://www.last.fm/music/Yussef+Dayes/_/Black+Classical+Music+(feat.+Venna+&+Charlie+Stacey),jazz
10677,Pieces of What,MGMT,Oracular Spectacular,"21 Nov 2023, 04:23",1700540586,https://www.last.fm/music/MGMT/_/Pieces+of+What,electronic
10678,4th Dimensional Transition,MGMT,Oracular Spectacular,"21 Nov 2023, 04:19",1700540348,https://www.last.fm/music/MGMT/_/4th+Dimensional+Transition,electronic
10679,Kids,MGMT,Oracular Spectacular,"21 Nov 2023, 04:14",1700540045,https://www.last.fm/music/MGMT/_/Kids,electronic
10680,Electric Feel,MGMT,Oracular Spectacular,"21 Nov 2023, 04:10",1700539816,https://www.last.fm/music/MGMT/_/Electric+Feel,electronic
10681,The Youth,MGMT,Oracular Spectacular,"21 Nov 2023, 04:06",1700539587,https://www.last.fm/music/MGMT/_/The+Youth,electronic
